epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1447.45,1.50341,1.49773,1.57109,0.40976,0.51731,0.4553,0.19195,1.98139,2.0977,2.13414,0.007228,0.007228,0.007228
58,1472.05,1.47133,1.51792,1.5617,0.44561,0.5702,0.4988,0.22926,1.82714,1.91556,1.98571,0.0071785,0.0071785,0.0071785
59,1496.26,1.50304,1.51077,1.58857,0.74191,0.52256,0.64004,0.29795,1.75112,1.60044,1.87305,0.007129,0.007129,0.007129
60,1520.91,1.45264,1.47026,1.54684,0.69716,0.44747,0.57676,0.26526,1.76781,1.74956,1.94145,0.0070795,0.0070795,0.0070795
61,1545.26,1.48011,1.47525,1.55649,0.44838,0.41555,0.3913,0.18301,1.91276,2.1737,2.08307,0.00703,0.00703,0.00703
62,1570.83,1.48032,1.50404,1.56199,0.73701,0.45233,0.61517,0.27528,1.834,1.68376,1.94772,0.0069805,0.0069805,0.0069805
63,1596.8,1.48613,1.4941,1.57183,0.63335,0.57147,0.64813,0.31687,1.73494,1.51908,1.86747,0.006931,0.006931,0.006931
64,1625.15,1.479,1.46849,1.55752,0.49632,0.62419,0.56199,0.26368,1.78681,1.64988,1.90562,0.0068815,0.0068815,0.0068815
65,1649.95,1.4536,1.4491,1.55534,0.51482,0.54797,0.53303,0.24035,1.96191,1.73075,2.03522,0.006832,0.006832,0.006832
66,1674.28,1.50416,1.49502,1.55968,0.42291,0.46981,0.40699,0.18333,2.03185,2.17723,2.20359,0.0067825,0.0067825,0.0067825
67,1698.37,1.45663,1.44084,1.55497,0.70136,0.57631,0.65087,0.30381,1.74186,1.57367,1.85668,0.006733,0.006733,0.006733
68,1722.7,1.45028,1.42628,1.53838,0.52739,0.56946,0.59269,0.25999,1.92838,1.72509,2.01402,0.0066835,0.0066835,0.0066835
69,1747.08,1.46265,1.47101,1.55037,0.58051,0.5245,0.61457,0.29257,1.77929,1.66495,1.88214,0.006634,0.006634,0.006634
70,1771.39,1.46544,1.48322,1.55674,0.54805,0.62101,0.62124,0.29224,1.76463,1.60257,1.87347,0.0065845,0.0065845,0.0065845
71,1795.43,1.45493,1.46111,1.54555,0.7362,0.46001,0.56803,0.26446,1.86437,1.74534,1.96374,0.006535,0.006535,0.006535
72,1819.7,1.44229,1.42259,1.53924,0.51984,0.56431,0.58335,0.27742,1.81001,1.67868,1.94103,0.0064855,0.0064855,0.0064855
73,1843.96,1.42487,1.3969,1.52608,0.42045,0.44196,0.40549,0.18472,1.96972,2.167,2.0713,0.006436,0.006436,0.006436
74,1868.43,1.45207,1.45125,1.54086,0.49647,0.57411,0.59721,0.26361,1.84882,1.62352,1.98136,0.0063865,0.0063865,0.0063865
75,1892.97,1.41986,1.39522,1.52153,0.42517,0.54456,0.49768,0.2294,1.94271,1.96764,2.0916,0.006337,0.006337,0.006337
76,1917.14,1.42089,1.41384,1.52532,0.67924,0.5249,0.62955,0.28495,1.81225,1.60551,1.94168,0.0062875,0.0062875,0.0062875
77,1941.41,1.42574,1.40121,1.53038,0.66272,0.54151,0.63853,0.31303,1.75483,1.50553,1.86828,0.006238,0.006238,0.006238
78,1965.71,1.42345,1.38492,1.52167,0.7252,0.49519,0.61605,0.28785,1.87801,nan,1.95816,0.0061885,0.0061885,0.0061885
79,1992.41,1.42804,1.39315,1.52583,0.60101,0.53022,0.59229,0.25464,1.87499,1.59937,1.98919,0.006139,0.006139,0.006139
80,2017.05,1.42768,1.39403,1.53284,0.60885,0.21161,0.23648,0.09844,2.3228,3.30991,2.60383,0.0060895,0.0060895,0.0060895
81,2041.35,1.39824,1.36853,1.51612,0.62451,0.64624,0.68457,0.33287,1.67357,1.47804,1.84298,0.00604,0.00604,0.00604
