epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,4162.26,1.43173,1.42848,1.57203,0.57846,0.62497,0.61408,0.29633,1.73044,1.64478,1.9571,0.0059905,0.0059905,0.0059905
83,4212.99,1.39832,1.39269,1.55811,0.56658,0.58459,0.58796,0.2669,1.76218,1.69965,1.96931,0.005941,0.005941,0.005941
84,4263.17,1.44311,1.44175,1.58369,0.5432,0.61339,0.59494,0.26226,1.84608,1.66641,2.00723,0.0058915,0.0058915,0.0058915
85,4313.38,1.41378,1.40971,1.5594,0.58043,0.5571,0.57462,0.26991,1.76297,1.71321,1.97242,0.005842,0.005842,0.005842
86,4363.48,1.40169,1.39246,1.53216,0.56351,0.54038,0.54511,0.2485,1.82731,1.9081,2.05452,0.0057925,0.0057925,0.0057925
87,4413.43,1.40661,1.3921,1.5319,0.40806,0.5118,0.47317,0.1985,1.92367,1.99624,2.12705,0.005743,0.005743,0.005743
88,4463.34,1.40671,1.39688,1.55156,0.40917,0.49705,0.42319,0.18289,1.94397,2.21183,2.1799,0.0056935,0.0056935,0.0056935
89,4513.36,1.42288,1.44196,1.55969,0.53827,0.64405,0.61405,0.29079,1.7488,1.62782,1.96984,0.005644,0.005644,0.005644
90,4563.85,1.42254,1.41253,1.55931,0.60502,0.62844,0.6567,0.32142,1.6643,1.50064,1.86514,0.0055945,0.0055945,0.0055945
91,4617.17,1.39873,1.39291,1.53718,0.62744,0.61686,0.64177,0.30322,1.68702,1.55534,1.89333,0.005545,0.005545,0.005545
92,4667.39,1.39418,1.38399,1.54111,0.45441,0.53656,0.48071,0.21413,2.07575,2.39014,2.35338,0.0054955,0.0054955,0.0054955
93,4717.39,1.41883,1.40516,1.56477,0.64538,0.46828,0.49259,0.22333,1.87363,2.01879,2.07294,0.005446,0.005446,0.005446
94,4767.48,1.4062,1.39935,1.55853,0.53189,0.52767,0.56112,0.24318,1.86128,1.80147,2.04306,0.0053965,0.0053965,0.0053965
95,4817.7,1.38961,1.35019,1.53525,0.46826,0.56673,0.5424,0.25277,1.77654,1.95433,1.97013,0.005347,0.005347,0.005347
96,4868.01,1.41357,1.36719,1.54948,0.44206,0.57533,0.5405,0.246,1.8561,1.98688,2.04421,0.0052975,0.0052975,0.0052975
97,4918.22,1.38324,1.35716,1.52374,0.55099,0.61467,0.63182,0.30516,1.68704,1.60349,1.91787,0.005248,0.005248,0.005248
98,4968.65,1.40928,1.37035,1.54259,0.46867,0.52503,0.52453,0.23326,1.87008,1.94042,2.08424,0.0051985,0.0051985,0.0051985
99,5018.73,1.39984,1.34492,1.54006,0.45479,0.44246,0.39791,0.17686,2.05519,2.55198,2.256,0.005149,0.005149,0.005149
100,5068.89,1.39193,1.3519,1.53516,0.3536,0.50451,0.38199,0.17324,2.20524,3.02787,2.60174,0.0050995,0.0050995,0.0050995
